,PROPERTIES PAGE,property_name,area,address,sell_price,rent_price,bedrooms,living_rooms,years,efficiency_ratio
36,3,Paris Garden,Prince Edward Rd ,Middle Floor|  Paris Garden| Prince Edward Rd ,$20.10M,$40.000,3.0,2.0,26.0,72.0
37,3,Boundary Crest,Kln Tong / Beacon Hill ,High Floor|  Boundary Crest| Kln Tong / Beacon Hill ,$8.60M,$25.000,1.0,2.0,41.0,78.0
38,3,Grandeur Villa,Yau Yat Chuen/Shek Kip Mei ,Low Floor|  Block 3| Grandeur Villa| Yau Yat Chuen/Shek Kip Mei ,$26.00M,$48.000,3.0,2.0,27.0,72.0
39,3,Dynasty Heights,Yau Yat Chuen/Shek Kip Mei ,Flat B| High Floor|  Tropicana 3 (Block 23)| Dynasty Heights| Yau Yat Chuen/Shek Kip Mei ,$32.00M,$65.000,3.0,2.0,20.0,77.0
40,3,Edwardian Heights,Homantin/Kingspark ,Flat B| High Floor|  Edwardian Heights ( Phase 2 )| Edwardian Heights| Homantin/Kingspark ,$15.00M,$30.000,3.0,2.0,46.0,76.0
41,3,Le Chateau,Kln Tong / Beacon Hill ,Flat E|  Le Chateau| Kln Tong / Beacon Hill ,$29.80M,$30.000,4.0,2.0,6.0,80.0
42,3,May Fair Court,Yau Yat Chuen/Shek Kip Mei , May Fair Court| Yau Yat Chuen/Shek Kip Mei ,$23.60M,$30.000,3.0,2.0,37.0,82.0
43,3,Beverly Villas,Kln Tong / Beacon Hill ,Flat C| Low Floor|  Block 7| Beverly Villas| Kln Tong / Beacon Hill ,$28.00M,$30.000,3.0,2.0,38.0,93.0
44,3,Homantin Hillside,Hung Hom ,Flat A|  Block 1| Homantin Hillside| Hung Hom ,$38.00M,$30.000,4.0,,3.0,
45,3,Ultima,Homantin/Kingspark ,Flat C| Middle Floor|  Block 7| Ultima| Homantin/Kingspark ,$69.00M,$30.000,4.0,2.0,3.0,
46,3,The Colonnades,Argyle Street ,Flat B| Low Floor|  The Colonnades| Argyle Street ,$11.00M,$30.000,2.0,2.0,30.0,83.0
47,3,Mantin Heights,Homantin/Kingspark ,Flat G|  Block 1| Mantin Heights| Homantin/Kingspark ,$16.00M,$30.000,2.0,2.0,2.0,
48,3,Man Yuen,Homantin/Kingspark ,Low Floor|  Man Yuen| Homantin/Kingspark ,$15.00M,$30.000,3.0,2.0,51.0,90.0
49,3,Fessenden Court,Kln Tong / Beacon Hill ,Flat A|  Fessenden Court| Kln Tong / Beacon Hill ,$19.00M,$30.000,3.0,2.0,43.0,83.0
50,3,Dynasty Heights,Yau Yat Chuen/Shek Kip Mei ,Flat F| Low Floor|  Tropicana 6 (Block 21)| Dynasty Heights| Yau Yat Chuen/Shek Kip Mei ,$12.00M,$25.000,2.0,2.0,20.0,77.0
51,3,Cheerworld Court,Homantin/Kingspark ,Low Floor|  Cheerworld Court| Homantin/Kingspark ,$16.50M,$34.000,3.0,2.0,25.0,61.0
52,3,Gay Mansion,Waterloo Road ,Middle Floor|  Gay Mansion| Waterloo Road ,$10.00M,$34.000,3.0,2.0,53.0,70.0
53,3,Duchy Heights,Homantin/Kingspark ,Flat A| Middle Floor|  Duchy Heights| Homantin/Kingspark ,$18.00M,$34.000,3.0,2.0,47.0,80.0
54,4,Ultima,Homantin/Kingspark ,Flat A|  Block 7| Ultima| Homantin/Kingspark ,$43.00M,$60.000,3.0,2.0,3.0,
55,4,One Homantin,Homantin/Kingspark ,Flat C|  Tower 5| One Homantin| Homantin/Kingspark ,$12.80M,$60.000,2.0,2.0,2.0,
56,4,Mandarin Court,Argyle Street ,High Floor|  Block 1| Mandarin Court| Argyle Street ,$13.80M,$60.000,3.0,2.0,60.0,80.0
57,4,One Beacon Hill,Kln Tong / Beacon Hill ,Flat D| Low Floor|  Block 09| Phase 3| One Beacon Hill| Kln Tong / Beacon Hill ,$29.80M,$48.000,3.0,2.0,15.0,75.0
58,4,Harbour Green,Olympic Station ,Flat B| Low Floor|  Block 1| Harbour Green| Olympic Station ,$23.90M,$48.000,4.0,2.0,12.0,76.0
59,4,Mantin Heights,Homantin/Kingspark ,Flat B|  Block 1| Mantin Heights| Homantin/Kingspark ,$19.00M,$48.000,2.0,2.0,2.0,
60,4,Mantin Heights,Homantin/Kingspark ,Flat A|  Block 1| Mantin Heights| Homantin/Kingspark ,$16.00M,$48.000,2.0,2.0,2.0,
61,4,Parc Palais,Homantin/Kingspark ,Flat C| High Floor|  Block 6| Parc Palais| Homantin/Kingspark ,$45.00M,$48.000,3.0,2.0,15.0,76.0
62,4,Mantin Heights,Homantin/Kingspark ,Flat C| High Floor|  Block 5| Mantin Heights| Homantin/Kingspark ,$13.98M,$48.000,2.0,2.0,2.0,
63,4,Stanford Villa,Stanley/Tai Tam/Shek O , Block 3| Stanford Villa| Stanley/Tai Tam/Shek O ,$20.00M,$48.000,2.0,2.0,24.0,82.0
64,4,Caldecott Hill,Yau Yat Chuen/Shek Kip Mei ,Flat D|  Tower 2| Caldecott Hill| Yau Yat Chuen/Shek Kip Mei ,$16.00M,$33.000,3.0,2.0,14.0,77.0
65,4,Tat Chee Court,Yau Yat Chuen/Shek Kip Mei ,High Floor|  Tat Chee Court| Yau Yat Chuen/Shek Kip Mei ,$15.00M,$33.000,3.0,2.0,33.0,88.0
66,4,South Court,Kln Tong / Beacon Hill ,Flat F|  South Court| Kln Tong / Beacon Hill ,$19.98M,$33.000,3.0,2.0,45.0,84.0
67,4,Carrie Court,Homantin/Kingspark ,Flat C| High Floor|  Carrie Court| Homantin/Kingspark ,$13.00M,$33.000,3.0,2.0,53.0,78.0
68,4,Alice Court,Kln Tong / Beacon Hill ,Flat C|  Block A| Alice Court| Kln Tong / Beacon Hill ,$10.80M,$33.000,2.0,2.0,47.0,81.0
69,4,8 Lasalle,Prince Edward Rd ,Flat B| Middle Floor|  8 Lasalle| Prince Edward Rd ,$39.60M,$33.000,3.0,2.0,5.0,
70,4,Celestial Heights,Celestial Heights ,Flat 12| High Floor|  Celestial Avenue 12| Phase 2| Celestial Heights| Celestial Heights ,$31.00M,$33.000,3.0,2.0,9.0,76.0
